machine_id,time,status,brand,usage_rate,temp_avg,age_machine,env_humidity,maintenance_freq,operator_experience,shock_events
173,154.4,1,Gamma,0.7,67.2,7,52.8,1.84,3,0
174,442.1,1,Gamma,0.4,68.4,2,30.2,1.94,4,0
175,648.9,1,Gamma,0.88,67.8,9,70.0,1.24,3,1
176,226.6,1,Alpha,0.71,58.2,7,69.0,1.41,3,0
177,766.1,0,Alpha,0.39,58.5,1,56.5,1.98,5,0
178,335.6,1,Alpha,0.65,72.4,4,31.5,1.32,4,0
179,277.6,1,Beta,0.79,64.9,8,73.1,1.03,3,0
180,192.5,1,Beta,0.77,61.7,5,63.8,1.17,2,1
181,109.5,1,Beta,0.77,70.1,4,33.4,0.54,3,0
182,426.1,0,Alpha,0.52,70.0,4,49.3,1.34,3,0
183,100.7,1,Alpha,0.41,61.8,4,37.5,1.53,4,1
184,120.4,1,Gamma,0.64,71.3,1,76.3,1.37,3,0
185,79.2,1,Beta,0.82,63.7,1,61.1,1.36,2,0
186,186.9,1,Gamma,0.63,55.7,6,69.3,1.73,2,0
187,308.4,1,Alpha,0.37,67.6,8,39.5,0.99,3,0
188,319.0,0,Beta,0.71,66.9,8,75.8,1.58,2,1
189,15.4,1,Gamma,0.9,65.9,10,74.8,1.66,4,2
190,545.5,1,Beta,0.57,63.9,5,77.0,1.68,4,1
191,249.7,1,Alpha,0.57,60.2,10,78.3,1.4,3,0
192,37.6,1,Gamma,0.59,67.9,6,63.5,1.86,4,0
193,484.1,1,Beta,0.6,72.3,4,71.2,1.51,3,0
194,159.8,1,Beta,0.66,69.1,5,77.5,0.72,2,0
195,618.5,1,Alpha,0.38,59.3,2,39.8,0.67,4,0
196,130.5,1,Beta,0.76,76.4,9,75.2,1.4,4,0
197,4.9,1,Alpha,0.79,72.0,2,30.7,1.78,2,2
198,81.6,1,Gamma,0.6,69.2,1,39.6,0.81,3,1
199,191.2,1,Beta,0.43,68.9,5,47.4,1.16,2,0
200,179.1,1,Alpha,0.67,63.3,9,30.8,1.19,2,0
201,443.5,0,Beta,0.6,63.0,7,48.0,0.84,4,1
202,105.0,1,Alpha,0.72,66.0,5,43.0,1.05,3,0
203,409.5,1,Beta,0.41,60.7,6,72.2,0.53,3,0
204,176.0,1,Gamma,0.4,63.5,4,73.3,2.16,2,0
205,386.1,1,Gamma,0.49,62.6,1,87.8,1.68,4,0
206,233.0,1,Beta,0.35,64.0,3,84.2,1.42,3,1
207,166.9,1,Alpha,0.66,64.1,7,44.2,0.78,3,0
208,203.7,1,Beta,0.8,69.9,1,69.9,1.28,4,0
209,87.5,1,Beta,0.74,60.8,5,86.5,1.28,4,0
210,224.6,1,Alpha,0.8,70.9,7,45.6,0.79,4,0
211,56.5,1,Gamma,0.56,59.6,9,85.9,1.37,4,1
212,109.9,1,Beta,0.67,73.1,9,32.8,1.79,3,2
213,663.3,1,Beta,0.81,62.8,6,73.7,1.75,4,1
214,555.3,1,Gamma,0.67,61.9,4,48.7,0.55,3,0
215,308.3,1,Beta,0.37,63.5,8,53.2,0.47,3,2
216,707.8,1,Beta,0.34,61.5,4,82.0,1.03,3,1
217,336.4,1,Alpha,0.38,62.8,8,49.0,0.65,4,1
218,367.4,1,Beta,0.85,57.1,3,37.5,1.53,4,1
219,196.6,1,Gamma,0.35,62.0,10,48.2,0.94,3,1
220,154.3,1,Alpha,0.65,71.4,4,53.2,0.73,3,0
221,514.9,0,Beta,0.41,67.0,5,48.6,0.88,2,1
222,124.4,1,Gamma,0.46,59.8,1,50.9,1.78,3,1
223,596.4,1,Alpha,0.45,64.0,8,64.1,1.72,3,0
224,17.1,1,Gamma,0.65,72.8,9,52.0,0.99,3,0
225,176.9,1,Gamma,0.7,67.4,1,61.9,1.14,2,0
226,265.4,1,Alpha,0.75,61.8,6,73.4,1.58,4,0
227,421.6,0,Beta,0.79,59.7,2,80.5,0.47,2,2
228,243.4,1,Beta,0.35,60.0,6,64.1,1.52,3,0
229,693.2,0,Beta,0.53,68.1,9,47.2,1.66,3,0
230,372.3,1,Alpha,0.53,62.1,1,40.9,1.02,3,0
231,338.1,1,Alpha,0.61,67.6,10,73.2,1.48,2,0
232,92.4,1,Alpha,0.66,66.1,4,49.6,0.67,4,1
233,64.2,1,Alpha,0.67,67.8,7,42.1,1.1,4,0
234,407.2,1,Gamma,0.61,65.9,3,46.7,0.55,2,0
235,14.4,1,Gamma,0.89,73.0,2,43.1,0.95,3,2
236,115.6,1,Alpha,0.72,70.5,5,80.3,1.86,4,0
237,209.0,1,Beta,0.5,57.6,2,36.6,0.48,3,0
238,489.2,1,Gamma,0.48,63.9,7,82.5,1.06,3,1
239,253.6,1,Beta,0.41,61.4,5,39.3,0.47,3,1
240,306.0,0,Beta,0.4,62.5,7,60.3,0.58,3,0
241,351.9,1,Alpha,0.31,65.3,2,35.7,1.89,4,0
242,588.1,0,Beta,0.88,70.5,1,32.4,1.26,3,1
243,31.0,1,Gamma,0.79,63.5,10,82.4,1.46,4,1
244,925.0,0,Beta,0.72,69.3,9,75.1,1.7,4,0
245,713.1,1,Alpha,0.62,72.4,9,76.0,0.51,3,0
246,287.6,1,Beta,0.66,75.3,7,59.7,0.84,4,0
247,1170.5,0,Gamma,0.35,59.9,4,49.8,0.71,2,0
248,21.1,1,Beta,0.66,57.0,5,88.2,0.99,2,1
249,634.1,1,Gamma,0.62,71.8,1,76.1,0.72,2,1
250,576.2,1,Gamma,0.66,68.8,2,33.3,1.52,2,1
251,439.3,1,Alpha,0.58,70.9,9,59.6,0.83,2,0
252,678.7,1,Beta,0.44,74.0,1,81.0,0.75,4,2
253,355.0,1,Gamma,0.47,60.9,9,55.8,1.23,4,0
254,373.9,1,Beta,0.77,62.4,7,50.6,0.9,3,1
255,230.5,1,Alpha,0.32,56.7,1,83.9,1.59,3,1
256,727.1,1,Gamma,0.48,60.2,8,78.8,1.39,3,1
257,85.0,1,Beta,0.86,58.8,8,68.0,0.67,3,0
258,76.0,1,Gamma,0.83,59.2,7,42.8,1.26,3,2
259,29.5,1,Alpha,0.57,63.5,10,60.6,1.07,3,1
260,915.9,1,Alpha,0.73,68.1,2,56.0,1.21,2,1
261,563.4,0,Beta,0.72,58.7,7,55.2,1.29,3,0
262,864.8,0,Alpha,0.37,65.1,4,76.1,1.03,3,1
263,101.9,1,Gamma,0.39,55.6,2,38.6,2.17,4,0
264,306.3,1,Alpha,0.35,67.7,9,88.9,0.76,2,1
265,155.8,1,Beta,0.7,55.2,8,78.0,1.6,3,0
266,442.4,0,Alpha,0.48,61.8,9,87.2,1.79,4,0
267,334.5,1,Alpha,0.84,65.3,6,36.4,0.81,2,2
268,280.8,1,Alpha,0.68,65.4,4,39.1,1.49,3,0
269,511.4,1,Beta,0.42,64.3,2,71.8,1.52,3,0
270,48.8,1,Beta,0.88,69.2,1,48.8,0.46,4,1
271,497.7,0,Alpha,0.69,69.6,10,67.7,1.8,4,0
272,38.4,1,Beta,0.87,58.5,9,70.3,0.84,3,0
273,409.6,1,Alpha,0.57,67.6,4,54.3,1.86,4,1
274,215.1,1,Beta,0.76,64.9,5,54.6,1.29,3,0
275,405.1,1,Beta,0.69,68.8,5,58.2,1.71,4,0
276,337.3,0,Alpha,0.82,63.0,3,50.3,0.96,3,2
277,341.5,1,Beta,0.45,64.5,4,63.5,0.83,2,1
278,36.1,1,Alpha,0.85,65.6,1,87.2,1.41,5,0
279,48.7,1,Beta,0.68,58.4,8,72.5,0.63,2,0
280,11.3,1,Alpha,0.39,63.5,9,43.9,1.36,3,0
281,555.8,1,Gamma,0.86,65.0,9,67.9,2.17,3,1
282,85.4,1,Alpha,0.89,65.4,5,61.2,1.7,3,0
283,574.5,0,Alpha,0.51,62.5,5,85.6,1.02,2,1
284,424.3,1,Gamma,0.55,68.8,7,52.5,0.78,3,0
285,149.5,1,Alpha,0.44,71.5,7,32.3,0.69,2,0
286,133.1,1,Gamma,0.64,66.0,2,43.3,1.4,2,1
287,457.1,0,Gamma,0.54,70.3,2,63.3,1.28,3,0
288,401.6,0,Gamma,0.74,64.7,9,42.9,1.49,2,0
289,644.4,1,Gamma,0.35,65.1,3,79.0,1.25,2,1
290,1181.2,0,Gamma,0.35,65.0,5,55.8,1.41,3,0
291,324.7,1,Beta,0.33,63.6,2,46.3,0.51,3,0
292,454.7,0,Gamma,0.66,62.1,7,32.3,1.63,3,1
293,123.9,1,Beta,0.85,59.7,10,53.3,0.68,3,1
294,204.5,1,Gamma,0.66,63.1,6,54.9,1.69,3,0
295,416.0,0,Alpha,0.5,70.4,9,31.4,0.61,3,0
296,467.6,1,Gamma,0.8,59.3,4,61.7,0.72,3,1
297,333.2,0,Gamma,0.56,54.3,10,45.0,1.19,4,0
298,154.4,1,Gamma,0.59,64.6,5,41.3,1.91,3,1
299,382.6,0,Alpha,0.55,57.9,7,54.8,0.7,3,0
300,862.2,1,Beta,0.75,61.5,2,57.0,1.04,3,0
301,69.2,1,Alpha,0.83,66.9,8,50.6,1.92,4,1
302,39.3,1,Gamma,0.65,62.3,6,61.3,1.59,4,0
303,119.7,1,Alpha,0.56,57.3,10,61.2,1.9,3,0
304,203.0,1,Alpha,0.66,68.5,8,38.9,1.95,2,0
305,812.9,0,Alpha,0.43,60.8,4,47.1,1.65,3,0
306,453.4,1,Gamma,0.4,71.5,3,30.0,1.05,2,0
307,690.5,1,Beta,0.6,59.4,1,68.3,0.79,3,1
308,593.3,1,Beta,0.44,67.3,6,66.8,1.39,3,0
309,46.7,1,Beta,0.82,68.3,8,42.4,0.64,2,0
310,476.8,1,Alpha,0.31,66.0,7,86.4,1.01,2,0
311,25.3,1,Beta,0.42,65.8,9,71.4,1.55,3,0
312,334.3,0,Beta,0.38,62.2,5,84.1,1.68,4,2
313,24.4,1,Alpha,0.63,62.1,8,78.2,1.11,3,1
314,23.8,1,Beta,0.35,57.0,9,40.5,0.76,3,0
315,23.7,1,Beta,0.76,60.0,7,82.7,1.59,3,1
316,177.9,1,Gamma,0.84,63.3,1,65.0,2.01,4,1
317,24.7,1,Beta,0.8,67.1,7,47.0,1.19,4,0
318,525.8,1,Gamma,0.45,61.7,3,36.9,1.6,2,0
319,1075.4,0,Beta,0.4,67.4,1,48.0,0.76,1,0
320,323.2,1,Beta,0.77,75.9,2,48.0,0.51,3,0
321,251.6,1,Alpha,0.36,63.4,1,32.8,0.92,3,2
322,328.8,1,Beta,0.44,63.3,1,43.8,1.73,3,2
323,481.3,1,Gamma,0.54,62.1,9,63.1,1.31,2,1
324,625.5,0,Alpha,0.4,63.4,4,30.6,0.74,5,1
325,83.2,1,Alpha,0.35,68.4,8,40.2,1.97,4,1
326,250.0,1,Beta,0.34,56.0,3,70.2,1.37,4,0
327,47.5,1,Beta,0.62,69.2,9,67.4,1.5,2,0
328,339.9,1,Gamma,0.36,61.5,8,64.1,0.99,2,0
329,291.7,1,Alpha,0.84,66.3,9,56.7,0.88,4,2
330,51.3,1,Gamma,0.84,64.6,5,76.7,0.68,2,2
331,41.7,1,Beta,0.38,62.0,6,37.9,1.52,2,0
332,339.0,1,Gamma,0.6,66.5,6,83.9,0.96,4,1
333,936.2,0,Beta,0.41,60.1,3,33.5,1.32,3,0
334,555.1,0,Gamma,0.69,60.2,5,30.9,1.2,3,0
335,601.8,1,Beta,0.42,62.2,2,45.0,0.92,3,0
336,34.8,1,Beta,0.58,51.3,8,69.4,1.79,4,0
337,4.8,1,Beta,0.32,69.6,9,73.1,0.76,4,0
338,71.5,1,Gamma,0.31,61.8,6,72.0,1.92,2,0
339,854.4,1,Beta,0.85,57.9,5,61.7,1.31,1,1
340,348.6,1,Alpha,0.78,72.6,1,76.2,0.65,2,1
341,536.8,0,Gamma,0.42,66.3,9,56.8,2.19,3,0
342,6.8,1,Gamma,0.42,70.5,10,69.5,1.56,4,0
343,481.6,1,Beta,0.57,67.0,9,61.2,1.25,4,0
344,649.6,1,Beta,0.65,65.4,8,37.1,0.8,4,0
345,446.8,1,Alpha,0.89,64.8,1,38.0,1.26,4,1
346,91.8,1,Alpha,0.83,64.0,1,58.7,1.34,4,0
347,320.4,0,Beta,0.38,71.6,2,36.3,1.57,4,0
348,579.7,1,Beta,0.58,64.4,2,81.2,1.33,4,1
349,34.5,1,Gamma,0.66,70.0,8,68.8,0.97,2,0
350,147.4,1,Gamma,0.64,70.1,7,88.1,0.81,2,1
351,483.9,1,Gamma,0.33,71.6,1,58.1,1.56,3,0
352,259.7,1,Gamma,0.38,60.3,3,80.5,2.09,3,0
353,183.0,1,Beta,0.74,59.3,2,58.9,1.04,3,0
354,330.3,0,Alpha,0.57,64.8,10,54.1,0.63,3,0
355,349.2,1,Alpha,0.43,62.5,4,59.4,1.22,4,0
356,63.7,1,Beta,0.83,69.1,4,81.7,1.57,4,2
357,528.9,0,Alpha,0.43,63.5,4,63.2,1.7,4,2
358,106.4,1,Alpha,0.55,62.1,10,78.4,1.88,3,1
359,25.4,1,Beta,0.38,66.5,9,63.6,1.36,3,1
360,238.0,1,Beta,0.42,66.3,7,53.6,0.89,3,2
361,14.2,1,Beta,0.89,70.0,2,54.6,1.16,2,0
362,9.9,1,Alpha,0.65,62.7,4,43.4,0.55,3,0
363,0.2,1,Beta,0.74,69.0,5,43.9,1.38,4,2
364,48.9,1,Alpha,0.69,63.0,10,41.0,0.95,3,0
365,457.7,1,Alpha,0.63,63.4,10,61.8,1.73,4,1
366,375.0,1,Gamma,0.7,66.2,10,39.3,0.7,3,1
367,119.6,1,Beta,0.46,65.0,3,67.4,1.55,3,0
368,380.1,1,Beta,0.51,64.9,10,82.3,1.47,3,2
369,376.9,1,Beta,0.86,56.9,5,61.1,1.02,3,0
370,17.9,1,Beta,0.49,68.7,10,61.2,0.72,3,0
371,449.8,1,Gamma,0.51,66.8,9,55.8,0.62,3,0
372,323.0,0,Beta,0.38,73.6,10,56.9,1.35,3,1
373,85.8,1,Alpha,0.35,71.1,3,45.7,1.98,3,1
374,6.8,1,Gamma,0.61,81.9,5,55.9,1.83,3,1
375,1042.5,1,Gamma,0.53,70.7,6,73.0,1.39,2,0
376,108.1,1,Alpha,0.64,61.9,9,82.8,1.17,3,1
377,143.9,1,Gamma,0.83,70.6,5,57.3,1.13,2,0
378,229.1,1,Beta,0.83,61.8,2,62.2,0.85,3,1
379,316.5,0,Gamma,0.65,71.0,2,35.0,1.28,2,0
380,103.4,1,Alpha,0.62,66.6,6,66.9,0.74,3,1
381,133.5,1,Beta,0.34,58.1,4,73.4,1.78,3,0
382,205.1,1,Gamma,0.71,74.3,3,73.2,0.68,2,0
383,413.0,1,Beta,0.31,69.5,6,33.5,1.08,2,0
384,129.5,1,Gamma,0.69,62.8,7,31.9,1.49,3,0
385,108.5,1,Beta,0.72,65.6,10,58.4,1.0,3,0
386,804.9,1,Alpha,0.86,63.3,9,75.4,1.17,2,2
387,423.7,1,Beta,0.76,70.9,5,41.6,1.31,4,0
388,306.3,0,Gamma,0.45,70.5,10,76.9,1.03,3,1
389,199.1,1,Beta,0.58,67.7,9,36.7,1.39,3,1
390,169.1,1,Alpha,0.36,68.7,10,32.5,0.6,3,1
391,61.3,1,Alpha,0.89,68.8,9,45.8,1.02,3,1
392,59.8,1,Beta,0.45,58.3,9,61.2,0.89,2,1
393,336.4,1,Gamma,0.76,64.9,6,59.1,1.81,3,0
394,292.6,1,Beta,0.69,71.3,8,56.2,1.05,3,0
395,342.7,1,Alpha,0.75,61.0,4,80.3,1.92,4,1
396,396.7,1,Beta,0.89,73.5,3,55.3,1.71,3,1
397,6.6,1,Alpha,0.84,65.5,6,51.9,1.51,4,2
398,477.9,1,Beta,0.61,63.2,5,67.6,1.08,3,0
399,197.8,1,Alpha,0.85,75.0,7,45.6,0.9,4,0
400,339.2,1,Gamma,0.54,67.2,4,69.3,1.25,4,0
401,613.2,1,Beta,0.83,52.4,2,67.5,0.53,3,2
